customer_id,age,region,account_type,tenure_months,monthly_income,avg_monthly_balance,credit_score,num_products,has_credit_card,has_crypto_wallet,uses_mobile_app,customer_service_calls,missed_payments_6m,support_rating,contract_type,monthly_fees,digital_engagement_score,loan_amount,loan_term_months,debt_to_income_ratio,interest_rate,loan_repaid
PBG-200937,48,,Plus,54,,1180,615,2,Yes,No,Yes,4,1,5,No fixed term,7,60,15000,36,0.31,11.69,0
PBG-200399,31,Wales,Plus,52,6440,7031,603,4,Yes,No,Yes,3,0,5,No fixed term,7,80,2000,48,0.22,13.71,1
PBG-201000,18,North East,Everyday,37,5021,2815,524,4,No,No,Yes,1,0,3,Annual,0,76,10000,24,0.16,,1
PBG-201173,44,Wales,Everyday,12,3521,3058,773,1,No,No,Yes,3,1,4,Monthly,0,89,5000,36,0.2,8.33,1
PBG-200319,70,Yorkshire and the Humber,Premium,57,1848,1375,649,3,No,No,Yes,2,4,4,Monthly,16.99,79,3000,24,0.18,9.78,1
PBG-200428,27,London,Premium,34,3866,2122,699,1,No,No,No,3,0,4,No fixed term,16.99,50,5000,36,0.27,9.17,1
PBG-201028,58,Scotland,Business,16,3272,3133,782,3,Yes,No,Yes,2,0,3,Monthly,12,,10000,24,0.28,5.08,1
PBG-200329,29,South West,Everyday,13,4216,1466,653,2,Yes,No,Yes,1,0,5,Monthly,0,87,3000,24,0.48,12.23,1
PBG-200220,50,London,Everyday,45,2935,3026,745,3,Yes,No,Yes,0,1,3,Annual,0,61,5000,36,0.41,6.91,1
PBG-200962,39,London,Premium,37,5154,1812,586,1,No,No,Yes,2,0,4,Annual,16.99,90,2000,48,0.23,12.16,1
PBG-201156,49,North West,Everyday,25,2757,2123,693,3,No,No,No,2,0,5,Annual,0,,5000,36,0.2,8.37,1
PBG-200918,50,London,Everyday,49,6622,5113,694,4,Yes,Yes,Yes,1,1,4,No fixed term,0,84,15000,48,0.3,7.64,0
PBG-201115,60,North West,Everyday,46,4781,3670,579,2,No,No,Yes,0,0,3,No fixed term,0,100,7500,36,0.14,11.77,1
PBG-200852,53,South West,Everyday,64,6044,1597,643,1,Yes,No,,2,0,3,No fixed term,0,77,5000,36,0.19,8.68,1
PBG-200213,62,London,Plus,70,2446,1961,644,3,Yes,No,Yes,0,0,5,Monthly,7,95,7500,24,0.12,9.5,1
PBG-200968,34,East Midlands,Premium,75,3460,4487,808,1,Yes,No,Yes,3,0,5,Monthly,16.99,84,3000,24,0.1,,1
PBG-200154,49,East Midlands,Plus,12,1718,0,733,2,No,No,Yes,0,0,3,Annual,7,90,10000,12,0.26,5.23,1
PBG-200766,18,London,Everyday,74,2600,3255,677,4,No,No,Yes,4,0,5,Monthly,0,100,5000,48,0.35,10.55,1
PBG-200928,30,London,Everyday,31,6406,6133,652,1,No,No,,2,0,4,Monthly,0,62,2000,36,0.05,8.1,1
PBG-200717,18,Wales,Everyday,37,3468,1324,625,2,No,No,No,4,0,3,Annual,0,34,1000,24,0.43,9.09,0
PBG-200037,38,South West,Everyday,15,3826,4028,622,3,Yes,No,Yes,0,0,4,No fixed term,0,68,1000,24,0.11,10.07,1
PBG-200762,30,Yorkshire and the Humber,Everyday,39,2683,1779,754,1,Yes,Yes,Yes,1,0,,Annual,0,100,3000,36,0.22,6.96,1
PBG-201065,35,London,Everyday,18,3575,1877,707,2,Yes,No,Yes,3,1,4,Monthly,0,37,5000,12,0.32,6.81,1
PBG-200389,42,Wales,Plus,52,3488,1858,701,1,No,Yes,Yes,0,0,3,Monthly,7,100,2000,60,0.21,8.22,1
PBG-200736,59,London,Everyday,68,3182,130,701,3,,No,Yes,1,0,2,Annual,0,73,1000,12,0.38,,1
PBG-200551,37,London,Premium,40,4715,4122,696,3,Yes,No,Yes,0,0,4,No fixed term,16.99,73,2000,48,0.23,5.94,1
PBG-200129,20,West Midlands,Everyday,41,1319,909,666,1,No,No,Yes,1,0,3,No fixed term,0,100,2000,24,0.26,10.73,1
PBG-200140,47,South West,Plus,30,4349,184,762,3,No,No,Yes,2,0,4,No fixed term,7,90,7500,24,0.08,5.68,1
PBG-200365,44,South West,Premium,17,7138,7725,585,1,No,No,Yes,1,0,1,Monthly,16.99,42,2000,24,0.17,11.62,0
PBG-200768,43,Yorkshire and the Humber,Premium,20,2656,1469,747,2,Yes,No,No,2,1,3,No fixed term,16.99,77,20000,24,0.17,3.9,1
PBG-200730,63,North West,Everyday,60,2764,1174,617,2,,Yes,Yes,4,1,4,Monthly,0,94,5000,36,0.19,10.01,1
PBG-200249,59,Yorkshire and the Humber,Plus,29,2945,647,755,4,Yes,Yes,Yes,2,1,4,Monthly,7,100,2000,12,0.37,7.69,0
PBG-200902,50,South West,Everyday,71,5917,2620,696,3,Yes,No,Yes,2,0,5,Annual,0,91,20000,24,0.24,6.2,1
PBG-200909,36,Northern Ireland,Business,52,4113,4627,579,4,No,No,Yes,0,2,3,Annual,12,96,3000,36,0.5,12.84,0
PBG-200980,41,North East,Everyday,61,4091,606,761,1,Yes,Yes,Yes,1,0,3,Monthly,0,76,10000,12,0.27,5.55,1
PBG-200212,40,North East,Everyday,20,6736,2353,591,2,No,No,No,1,1,4,Monthly,0,39,10000,24,0.18,11.74,1
PBG-200705,40,South East,Plus,14,4895,429,584,4,No,No,Yes,3,0,4,Annual,7,78,20000,48,0.24,12.87,0
PBG-200905,18,West Midlands,Plus,52,1785,1212,780,2,No,No,Yes,2,0,3,Monthly,7,67,3000,24,0.31,5.83,1
PBG-200400,23,West Midlands,Plus,16,,2757,752,2,Yes,No,Yes,1,0,5,No fixed term,7,100,2000,24,0.17,7.16,0
PBG-200546,50,South West,Everyday,25,3124,1777,777,3,Yes,No,Yes,2,0,2,No fixed term,0,64,5000,48,0.23,3.9,0
PBG-200891,39,London,,30,4782,,499,3,,No,Yes,1,1,3,No fixed term,0,65,2000,24,0.2,14.89,0
PBG-201161,44,London,,27,6342,7051,700,2,No,No,Yes,2,0,3,Monthly,0,81,15000,48,0.22,7.1,1
PBG-200833,43,East Midlands,Everyday,27,2599,2233,668,2,Yes,No,Yes,4,1,3,Monthly,0,86,5000,12,0.2,6.65,1
PBG-200604,24,North East,Everyday,32,3330,1778,,3,Yes,No,Yes,0,0,2,Annual,0,74,1000,48,0.37,6.66,1
PBG-200284,42,Scotland,Business,79,5002,1236,686,3,No,Yes,Yes,5,0,4,Annual,12,100,3000,12,0.3,10.25,1
PBG-201107,34,London,Plus,43,2135,,672,3,Yes,No,Yes,4,0,2,Annual,7,88,7500,12,0.38,9.64,0
PBG-200982,35,London,Premium,24,6711,7416,746,5,Yes,No,Yes,2,0,1,Monthly,16.99,89,5000,12,0.08,4.27,1
PBG-200303,54,Yorkshire and the Humber,Business,66,3116,3548,514,1,No,No,No,2,0,3,Monthly,12,100,7500,48,0.11,14.79,0
PBG-200119,36,East Midlands,Premium,38,3477,1937,610,1,Yes,No,Yes,0,0,3,Monthly,16.99,93,7500,24,0.08,9.48,1
PBG-200877,26,South East,Premium,78,2321,395,663,2,No,Yes,Yes,2,0,5,No fixed term,16.99,60,2000,12,0.08,6.6,1
PBG-200787,53,North West,Plus,20,3727,3891,640,3,,No,Yes,2,0,2,No fixed term,7,100,2000,36,0.23,8.81,0
PBG-200577,49,South West,Plus,51,2820,2912,753,2,Yes,No,Yes,4,0,4,No fixed term,7,94,1000,36,0.25,6.61,1
PBG-200647,45,Yorkshire and the Humber,Everyday,85,3056,2584,589,2,No,No,Yes,1,0,4,No fixed term,0,80,20000,24,0.16,12.61,0
PBG-200061,52,London,Plus,95,2196,1263,850,2,Yes,No,Yes,2,0,3,Monthly,7,83,5000,12,0.43,5.33,1
PBG-201185,18,South East,,22,2571,2953,682,3,No,No,Yes,3,0,3,Annual,0,100,7500,48,0.06,4.83,0
PBG-200638,18,South East,Everyday,24,1578,995,693,3,Yes,No,Yes,0,1,4,Annual,0,88,5000,12,,9.23,0
PBG-200948,25,West Midlands,Everyday,68,4847,5721,729,4,No,No,Yes,4,1,5,No fixed term,0,100,10000,12,0.1,6.24,1
PBG-200699,49,Yorkshire and the Humber,Everyday,32,2844,0,685,1,Yes,No,Yes,0,1,1,Monthly,0,,5000,36,0.18,9.09,1
PBG-200661,27,South East,Plus,35,1470,1197,,4,Yes,No,Yes,0,0,1,Monthly,7,96,3000,36,0.28,,1
PBG-200765,36,North West,Plus,23,2341,2576,670,1,Yes,No,,3,1,5,No fixed term,7,86,3000,24,0.19,8.62,1
PBG-200131,36,South East,,52,3113,2972,657,2,No,Yes,Yes,2,1,2,Annual,0,80,10000,36,0.15,9.59,0
PBG-200139,52,North West,Plus,24,,265,728,3,Yes,No,Yes,2,0,2,Monthly,7,100,3000,60,0.49,8.07,1
PBG-200649,39,Northern Ireland,Plus,70,7372,8354,610,4,Yes,No,Yes,1,0,3,No fixed term,7,,1000,24,0.07,10.18,1
PBG-201093,62,Wales,Everyday,43,3601,1645,570,5,No,No,Yes,1,0,3,No fixed term,0,100,1000,24,0.1,11.31,1
PBG-200005,42,North West,Premium,73,1843,940,698,4,No,No,Yes,2,0,4,No fixed term,16.99,90,5000,36,,6.31,1
PBG-200464,46,North East,Business,28,2004,2339,643,3,Yes,No,,0,0,4,Annual,12,48,5000,48,0.13,9.1,1
PBG-200412,38,Scotland,Premium,28,3770,1273,719,4,Yes,No,No,2,0,1,Monthly,16.99,49,25000,36,0.33,8.23,1
PBG-201033,29,North West,Premium,24,2113,2189,575,2,No,Yes,No,2,0,3,Annual,16.99,47,3000,24,0.2,12.1,1
PBG-200047,50,Yorkshire and the Humber,Everyday,63,2678,2141,695,3,No,No,No,1,0,,Annual,0,58,7500,48,0.35,7.47,1
PBG-200105,56,Yorkshire and the Humber,Plus,39,1683,1847,579,3,No,No,Yes,4,0,1,Annual,7,58,3000,24,,12.61,0
PBG-200743,44,West Midlands,Business,14,1960,843,629,3,No,No,Yes,1,0,5,Annual,12,94,3000,36,0.23,10.24,1
PBG-200360,56,North East,Plus,77,3896,3443,694,1,Yes,No,No,2,1,2,Annual,7,79,15000,36,0.39,10,1
PBG-200042,24,London,Plus,56,4148,2037,670,5,No,No,Yes,2,0,1,No fixed term,7,80,5000,48,0.17,9.35,1
PBG-200566,29,North West,Business,66,4827,1971,623,1,No,No,Yes,1,1,3,Monthly,12,59,15000,24,0.24,10.29,1
PBG-201166,50,Scotland,Everyday,81,5615,6314,559,3,No,No,,2,0,4,Annual,0,69,15000,36,0.26,10.43,1
PBG-200147,55,North West,Premium,39,5259,2882,721,4,No,No,Yes,2,2,2,Monthly,16.99,100,10000,36,0.27,8.34,1
PBG-201078,36,West Midlands,Plus,18,2525,788,850,2,Yes,No,Yes,2,1,4,No fixed term,7,65,5000,48,0.2,3.9,1
PBG-200978,32,South East,Plus,29,2441,2324,639,1,Yes,Yes,Yes,1,1,2,No fixed term,7,84,5000,24,0.45,10.7,1
PBG-200123,41,North East,Business,11,4253,1395,587,1,No,No,Yes,1,1,4,No fixed term,12,58,25000,36,0.28,13.02,0
PBG-200276,36,South West,Everyday,5,3043,2157,535,1,No,No,Yes,5,0,5,Monthly,0,63,7500,12,0.2,14.43,1
PBG-200885,46,North West,Business,32,1346,2000,612,2,No,No,Yes,2,1,3,Annual,12,62,2000,36,0.18,9.83,1
PBG-200879,29,London,Everyday,31,7305,8806,662,4,No,Yes,Yes,1,0,4,Annual,0,83,7500,24,0.21,8.7,1
PBG-200663,33,North West,Premium,34,2881,2855,540,3,Yes,No,Yes,0,0,3,Annual,16.99,100,5000,36,0.07,12.42,1
PBG-200810,18,Wales,Everyday,33,1745,2986,631,2,Yes,Yes,Yes,3,1,4,Monthly,0,45,3000,12,0.28,11.35,0
PBG-200179,27,Yorkshire and the Humber,Everyday,39,3502,4484,656,3,No,No,Yes,2,0,1,No fixed term,0,92,3000,36,0.16,10.37,1
PBG-201126,37,North West,Everyday,44,5874,1444,665,3,Yes,No,Yes,0,0,4,Annual,0,82,2000,12,0.07,4.8,1
PBG-200698,37,London,Everyday,6,2232,,731,1,Yes,No,Yes,3,0,4,Monthly,0,52,10000,36,0.15,7.72,1
PBG-201184,24,North West,Premium,41,2655,708,588,1,Yes,No,,1,3,4,No fixed term,16.99,100,1000,24,0.19,11.95,0
PBG-200419,23,South East,Everyday,29,1525,1109,738,2,No,No,Yes,0,0,4,No fixed term,0,50,5000,36,0.34,6.52,1
PBG-200747,63,Wales,Everyday,5,7698,7451,595,2,No,No,Yes,2,0,,Monthly,0,52,1000,48,0.2,11.64,1
PBG-200617,36,South East,Everyday,9,4073,2642,636,1,Yes,No,Yes,2,0,4,Annual,0,60,3000,36,0.21,9.44,1
PBG-200421,37,East Midlands,Premium,60,6281,7750,654,4,Yes,Yes,Yes,3,0,1,Annual,16.99,95,7500,24,0.31,10.92,1
PBG-200602,44,North West,Everyday,87,,106,692,2,Yes,Yes,Yes,3,0,2,Monthly,0,75,10000,12,0.27,9.34,1
PBG-200344,26,East Midlands,Everyday,26,2021,792,575,3,No,No,Yes,6,0,4,Monthly,0,100,7500,24,0.31,11.11,1
PBG-201153,51,West Midlands,Plus,8,4716,3141,818,1,No,No,No,1,0,4,Annual,7,72,1000,60,0.27,3.9,1
PBG-200231,46,East Midlands,Plus,12,2661,2593,634,1,No,No,No,2,0,5,Monthly,7,87,2000,24,0.16,12.37,1
PBG-200814,36,West Midlands,Plus,20,1458,468,739,4,Yes,Yes,Yes,1,1,4,Monthly,7,71,5000,24,0.03,6.65,1
PBG-200915,32,Yorkshire and the Humber,Everyday,26,1786,0,616,3,No,No,No,3,0,2,No fixed term,0,39,3000,24,0.17,10.07,0
PBG-200792,34,West Midlands,Business,64,2834,2116,662,2,No,No,Yes,1,3,3,Monthly,12,80,7500,60,0.17,8.82,0
PBG-200667,30,West Midlands,Everyday,26,6380,7111,717,3,Yes,Yes,Yes,1,1,5,No fixed term,0,88,25000,48,0.21,7.88,1
PBG-201069,18,South East,Business,119,4744,6072,655,2,Yes,No,Yes,0,3,5,Annual,12,87,10000,36,0.16,7.62,0
PBG-200064,27,North West,Business,30,4842,3527,632,2,Yes,No,Yes,2,0,4,Monthly,12,84,2000,24,0.16,8.83,1
PBG-200206,54,South East,Business,5,5428,6893,679,2,Yes,No,Yes,3,0,,Annual,12,67,2000,24,0.15,6.87,0
PBG-200524,53,London,Plus,46,3737,,728,1,No,Yes,Yes,1,0,5,Monthly,7,69,2000,36,0.19,6.27,1
PBG-200752,44,North West,Plus,82,1792,2183,727,1,No,No,Yes,2,0,5,Monthly,7,100,2000,24,0.53,9.3,1
PBG-200590,46,North West,Everyday,26,1522,1327,712,2,Yes,Yes,Yes,1,1,4,Monthly,0,65,2000,24,0.37,,1
PBG-200196,26,London,Plus,44,2480,2384,622,3,No,No,No,2,1,3,Annual,7,,2000,48,0.06,8.16,1
PBG-201054,48,South East,Plus,39,3477,3214,776,2,Yes,No,Yes,2,0,2,No fixed term,7,100,3000,36,0.28,5.02,1
PBG-200567,18,South East,Plus,41,,240,704,4,,Yes,No,1,1,4,No fixed term,7,49,5000,48,0.09,6.37,1
PBG-200195,43,North West,Everyday,41,5899,3769,572,1,No,No,No,0,0,4,Monthly,0,87,10000,24,0.14,10.69,1
PBG-200425,46,Wales,Everyday,98,5140,6099,614,1,Yes,No,Yes,1,1,1,Annual,0,88,3000,24,,11.16,1
PBG-201118,35,North West,Premium,47,3584,2870,850,2,Yes,No,Yes,1,3,4,Annual,16.99,100,2000,48,0.38,3.9,0
PBG-200359,28,West Midlands,Everyday,60,2615,1233,660,5,Yes,No,Yes,1,1,3,Annual,0,74,25000,60,,7.74,1
PBG-200953,30,,Plus,33,1350,,682,1,Yes,No,Yes,1,2,4,Annual,7,,5000,48,0.18,6.49,0
PBG-200860,40,Northern Ireland,Premium,144,2087,618,603,2,No,Yes,Yes,1,0,4,No fixed term,16.99,90,7500,24,0.28,,1
PBG-200818,43,South East,Everyday,38,3942,3634,731,1,No,No,No,1,0,2,Monthly,0,41,1000,36,0.19,5.6,1
PBG-200573,43,Wales,Everyday,22,1429,735,698,1,Yes,Yes,Yes,0,0,3,Monthly,0,39,5000,12,0.11,7.09,1
PBG-200858,32,South West,Premium,10,5901,2766,563,1,Yes,No,No,2,2,3,Annual,16.99,33,20000,12,0.26,13.73,0
PBG-200946,35,South East,Plus,17,3860,3386,594,2,No,No,No,0,0,5,No fixed term,7,80,10000,24,,12.8,1
PBG-201186,53,South West,Everyday,23,4112,4331,614,1,No,No,Yes,4,1,,No fixed term,0,100,7500,36,0.16,10.55,0
PBG-200758,25,East Midlands,Everyday,22,3796,3617,574,2,No,No,,4,0,3,No fixed term,0,39,7500,36,0.18,12,0
PBG-200832,38,London,Business,24,5595,4419,675,2,Yes,Yes,Yes,0,0,3,Monthly,12,,2000,12,0.24,9.21,1
PBG-200290,34,London,Everyday,32,,3220,,3,Yes,No,Yes,4,0,5,Monthly,0,78,10000,12,0.37,9.88,1
PBG-200271,25,Wales,Plus,37,1860,488,646,2,Yes,No,Yes,1,0,,Annual,7,54,7500,12,0.23,10.04,0
PBG-200084,39,East Midlands,Everyday,63,3045,684,723,3,No,No,Yes,3,0,3,Annual,0,,7500,24,0.29,9.34,0
PBG-201092,18,Yorkshire and the Humber,Business,84,5503,,662,2,Yes,Yes,Yes,4,0,3,Annual,12,66,15000,12,0.11,7.79,1
PBG-201108,67,Wales,Premium,25,3843,3044,547,4,No,No,Yes,2,1,5,Annual,16.99,87,3000,24,0.21,12.87,1
